model,MSE,Pearson R,F1,AUC,adjustedDI,Dataset,DV,fullN,Metric,Value,finetune,num_demos
BERT,0.03187864358454442,0.8234504921599776,0.8421758926431824,0.9316303854963314,FALSE,AskAPatient,AskAPatient,FALSE,DI_Gender,0.888124776908766,PT,1
BERT,0.03187864358454442,0.8234504921599776,0.8421758926431824,0.9316303854963314,FALSE,AskAPatient,AskAPatient,FALSE,DI_Age_Gender,0.64189099965887,PT,2
BERT,0.03187864358454442,0.8234504921599776,0.8421758926431824,0.9316303854963314,FALSE,AskAPatient,AskAPatient,FALSE,FV_Gender,0.016590881418276,PT,1
BERT,0.03187864358454442,0.8234504921599776,0.8421758926431824,0.9316303854963314,FALSE,AskAPatient,AskAPatient,FALSE,FV_Age_Gender,0.138707541415778,PT,2
BERT,0.03187864358454442,0.8234504921599776,0.8421758926431824,0.9316303854963314,TRUE,AskAPatient,AskAPatient,FALSE,DI_Gender,0.948800221367571,PT,1
BERT,0.03187864358454442,0.8234504921599776,0.8421758926431824,0.9316303854963314,TRUE,AskAPatient,AskAPatient,FALSE,DI_Age_Gender,0.972858412131368,PT,2
BERT,0.03187864358454442,0.8234504921599776,0.8421758926431824,0.9316303854963314,TRUE,AskAPatient,AskAPatient,FALSE,FV_Gender,0.016590881418276,PT,1
BERT,0.03187864358454442,0.8234504921599776,0.8421758926431824,0.9316303854963314,TRUE,AskAPatient,AskAPatient,FALSE,FV_Age_Gender,0.138707541415778,PT,2
BERT,0.03170901887802345,0.82405750238333,0.8455618756273601,0.9320620651063048,FALSE,AskAPatient,AskAPatient,FALSE,DI_Gender,0.889633150892267,PTD,1
BERT,0.03170901887802345,0.82405750238333,0.8455618756273601,0.9320620651063048,FALSE,AskAPatient,AskAPatient,FALSE,DI_Age_Gender,0.64620374792399,PTD,2
BERT,0.03170901887802345,0.82405750238333,0.8455618756273601,0.9320620651063048,FALSE,AskAPatient,AskAPatient,FALSE,FV_Gender,0.0164446801444566,PTD,1
BERT,0.03170901887802345,0.82405750238333,0.8455618756273601,0.9320620651063048,FALSE,AskAPatient,AskAPatient,FALSE,FV_Age_Gender,0.137488891753764,PTD,2
BERT,0.03170901887802345,0.82405750238333,0.8455618756273601,0.9320620651063048,TRUE,AskAPatient,AskAPatient,FALSE,DI_Gender,0.950411645355124,PTD,1
BERT,0.03170901887802345,0.82405750238333,0.8455618756273601,0.9320620651063048,TRUE,AskAPatient,AskAPatient,FALSE,DI_Age_Gender,0.979394869927719,PTD,2
BERT,0.03170901887802345,0.82405750238333,0.8455618756273601,0.9320620651063048,TRUE,AskAPatient,AskAPatient,FALSE,FV_Gender,0.0164446801444566,PTD,1
BERT,0.03170901887802345,0.82405750238333,0.8455618756273601,0.9320620651063048,TRUE,AskAPatient,AskAPatient,FALSE,FV_Age_Gender,0.137488891753764,PTD,2
RoBERTa,0.03004319608601079,0.8389888274969466,0.8604684039394939,0.9386316885337568,FALSE,AskAPatient,AskAPatient,FALSE,DI_Gender,0.882335823595336,PTD,1
RoBERTa,0.03004319608601079,0.8389888274969466,0.8604684039394939,0.9386316885337568,FALSE,AskAPatient,AskAPatient,FALSE,DI_Age_Gender,0.645122404297321,PTD,2
RoBERTa,0.03004319608601079,0.8389888274969466,0.8604684039394939,0.9386316885337568,FALSE,AskAPatient,AskAPatient,FALSE,FV_Gender,0.0181865344362667,PTD,1
RoBERTa,0.03004319608601079,0.8389888274969466,0.8604684039394939,0.9386316885337568,FALSE,AskAPatient,AskAPatient,FALSE,FV_Age_Gender,0.141580388459432,PTD,2
RoBERTa,0.03004319608601079,0.8389888274969466,0.8604684039394939,0.9386316885337568,TRUE,AskAPatient,AskAPatient,FALSE,DI_Gender,0.942615774848259,PTD,1
RoBERTa,0.03004319608601079,0.8389888274969466,0.8604684039394939,0.9386316885337568,TRUE,AskAPatient,AskAPatient,FALSE,DI_Age_Gender,0.977755971354334,PTD,2
RoBERTa,0.03004319608601079,0.8389888274969466,0.8604684039394939,0.9386316885337568,TRUE,AskAPatient,AskAPatient,FALSE,FV_Gender,0.0181865344362667,PTD,1
RoBERTa,0.03004319608601079,0.8389888274969466,0.8604684039394939,0.9386316885337568,TRUE,AskAPatient,AskAPatient,FALSE,FV_Age_Gender,0.141580388459432,PTD,2
RoBERTa,0.02933951668288205,0.84161741770051,0.8591342278697074,0.9394962653742812,FALSE,AskAPatient,AskAPatient,FALSE,DI_Gender,0.892198728956431,PT,1
RoBERTa,0.02933951668288205,0.84161741770051,0.8591342278697074,0.9394962653742812,FALSE,AskAPatient,AskAPatient,FALSE,DI_Age_Gender,0.652848212860406,PT,2
RoBERTa,0.02933951668288205,0.84161741770051,0.8591342278697074,0.9394962653742812,FALSE,AskAPatient,AskAPatient,FALSE,FV_Gender,0.0163164892741279,PT,1
RoBERTa,0.02933951668288205,0.84161741770051,0.8591342278697074,0.9394962653742812,FALSE,AskAPatient,AskAPatient,FALSE,FV_Age_Gender,0.138525355271591,PT,2
